protocol,scenario,file_name,total_runs,success_count,error_count,error_rate_percent,dns_time_ms_mean,dns_time_ms_std,dns_time_ms_min,dns_time_ms_max,http_time_ms_mean,http_time_ms_std,http_time_ms_min,http_time_ms_max,total_time_ms_mean,total_time_ms_std,total_time_ms_min,total_time_ms_max,throughput_mbps_mean,throughput_mbps_std,throughput_mbps_min,throughput_mbps_max,http_header_bytes_mean,http_header_bytes_std,http_header_bytes_min,http_header_bytes_max,http_body_bytes_mean,http_body_bytes_std,http_body_bytes_min,http_body_bytes_max,response_total_bytes_mean,response_total_bytes_std,response_total_bytes_min,response_total_bytes_max,retransmissions_mean,retransmissions_std,retransmissions_min,retransmissions_max,packets_sent_mean,packets_sent_std,packets_sent_min,packets_sent_max,acks_received_mean,acks_received_std,acks_received_min,acks_received_max
RUDP,A,/arquivo_100kb.bin,10,10,0,0.0,0.22941809984331485,0.018707583062999886,0.18659099805518053,0.24761600070632994,158.20187120007176,2.049614181077429,156.00988600272103,163.21766900000512,158.70787759959057,2.076613707611543,156.51135399821214,163.80530599781196,5.162465586171349,0.06633154256678336,5.001059001171443,5.234125059127391,183.0,0.0,183.0,183.0,102400.0,0.0,102400.0,102400.0,102583.0,0.0,102583.0,102583.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,101.0,101.0,0.0,101.0,101.0
RUDP,A,/arquivo_10mb.bin,10,10,0,0.0,0.24920900032157078,0.024251064507913065,0.19973900270997547,0.28777400075341575,13683.490335099486,8.390885635241483,13670.616669998708,13698.762743999396,13691.834886200377,9.30989441156567,13674.703607997799,13707.667069000308,6.126725571073883,0.004166680171469114,6.119646733302063,6.1343984048720674,185.0,0.0,185.0,185.0,10485760.0,0.0,10485760.0,10485760.0,10485945.0,0.0,10485945.0,10485945.0,0.0,0.0,0.0,0.0,10241.0,0.0,10241.0,10241.0,10241.0,0.0,10241.0,10241.0
RUDP,A,/arquivo_1mb.bin,10,10,0,0.0,0.21931189949100371,0.040343071279260505,0.15195299783954397,0.2583310015324969,1395.3911401993537,2.3964145072714986,1392.3449229987455,1400.9536300000036,1396.7643189000228,2.3977414378507254,1393.8035900027899,1402.3366319997876,6.005759234300083,0.010290436371666174,5.98187896442348,6.018500784592763,184.0,0.0,184.0,184.0,1048576.0,0.0,1048576.0,1048576.0,1048760.0,0.0,1048760.0,1048760.0,0.0,0.0,0.0,0.0,1025.0,0.0,1025.0,1025.0,1025.0,0.0,1025.0,1025.0
RUDP,B,/arquivo_100kb.bin,10,10,0,0.0,0.2292588003911078,0.04893472470546078,0.14727999950991943,0.3058800029975828,6787.548460200196,2995.0946415961075,761.1730530006753,11449.725357000716,6788.077554299889,2995.053728802249,761.8488389998674,11450.253046998114,0.21578337470270817,0.3044980886063893,0.07154427038752369,1.0752789241963294,183.0,0.0,183.0,183.0,102400.0,0.0,102400.0,102400.0,102583.0,0.0,102583.0,102583.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,101.0,138.9,18.740627287023003,101.0,167.0
RUDP,B,/arquivo_10mb.bin,10,10,0,0.0,0.2333366996026598,0.06058071465770453,0.15900400103419088,0.33302799783996306,649050.1383436989,35162.05195999729,601555.3967209999,707755.9292719997,649054.3176617997,35162.05048006517,601559.0913209999,707759.7306959978,0.12957858476047518,0.006878749143402381,0.1185233863439899,0.13944778029335322,185.0,0.0,185.0,185.0,10485760.0,0.0,10485760.0,10485760.0,10485945.0,0.0,10485945.0,10485945.0,0.1,0.31622776601683794,0.0,1.0,10241.0,0.0,10241.0,10241.0,13845.7,214.01767839752554,13550.0,14185.0
RUDP,B,/arquivo_1mb.bin,10,10,0,0.0,0.23463820034521632,0.037415375683406395,0.16284500088659115,0.2855480015568901,62015.64898950019,14092.410080264903,45430.84024300333,78764.42964300077,62017.05638269923,14092.419926475322,45432.315254998684,78765.77780200023,0.14226401740454583,0.034380955074341704,0.10650066861635148,0.18463967669085596,184.0,0.0,184.0,184.0,1048576.0,0.0,1048576.0,1048576.0,1048760.0,0.0,1048760.0,1048760.0,0.0,0.0,0.0,0.0,1025.0,0.0,1025.0,1025.0,1367.5,88.95972871661274,1267.0,1481.0
RUDP,C,/arquivo_100kb.bin,10,10,0,0.0,0.21539129920711275,0.048164931228040615,0.15263599925674498,0.2826849995472003,13081.96649950005,1907.4590308453166,9941.510354001366,16160.856086000422,13082.46215750005,1907.4336127036643,9942.045882999082,16161.316925998108,0.06386908082016704,0.009644073099205194,0.05068893851603043,0.08239752759548552,183.0,0.0,183.0,183.0,102400.0,0.0,102400.0,102400.0,102583.0,0.0,102583.0,102583.0,0.0,0.0,0.0,0.0,101.0,0.0,101.0,101.0,168.4,12.158216243438929,154.0,192.0
RUDP,C,/arquivo_10mb.bin,10,10,0,0.0,0.23297409934457392,0.051157083193407976,0.16021099872887135,0.30429499747697264,1333081.1699782,33919.36449444814,1290801.8827299965,1382894.8517270037,1333086.0041356,33918.97109281858,1290805.7046769974,1382898.7069420037,0.06296274337086202,0.0015946573516773786,0.06065959826189789,0.06498737935233334,185.0,0.0,185.0,185.0,10485760.0,0.0,10485760.0,10485760.0,10485945.0,0.0,10485945.0,10485945.0,0.3,0.6749485577105528,0.0,2.0,10241.0,0.0,10241.0,10241.0,17475.3,213.4489530439434,17207.0,17782.0
RUDP,C,/arquivo_1mb.bin,10,10,0,0.0,0.2438503008306725,0.06620207686701654,0.15721299860160798,0.3417980005906429,130769.3806831001,12179.239935546391,114153.33352200105,152884.94412599903,130770.76743640027,12179.271380622155,114154.64429500207,152886.4411700015,0.06463452639931906,0.005836922685478147,0.0548682272659635,0.07348459672233651,184.0,0.0,184.0,184.0,1048576.0,0.0,1048576.0,1048576.0,1048760.0,0.0,1048760.0,1048760.0,0.0,0.0,0.0,0.0,1025.0,0.0,1025.0,1025.0,1727.3,66.79662333448367,1632.0,1845.0
TCP,A,/arquivo_100kb.bin,10,10,0,0.0,0.2334004999283934,0.02006429951229079,0.19576499835238792,0.2521070018701721,51.30750629978138,1.0144452233371213,50.74546899777488,54.137682000146015,51.69748949956556,1.0139124597396283,51.166968998586526,54.52829699788708,15.851275975995302,0.2971873459553148,15.023392350429415,16.010328851463335,183.0,0.0,183.0,183.0,102400.0,0.0,102400.0,102400.0,102583.0,0.0,102583.0,102583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
